<<<<<<< HEAD
"","name","location_name","val_GBD 2019","lower_GBD 2019","upper_GBD 2019","val_2016 reallocation method","lower_2016 reallocation method","upper_2016 reallocation method","val_Composite method","lower_Composite method","upper_Composite method"
"49","cost_cc2","Southern Sub-Saharan Africa",0.01,0,0.01,0.02,0.01,0.02,0.02,0.02,0.03
"50","cost_cc2","Tropical Latin America",0.03,0.02,0.03,0.06,0.03,0.09,0.08,0.06,0.12
"51","cost_cc2","Western Europe",0.05,0.03,0.06,0.13,0.08,0.21,0.14,0.09,0.21
"52","cost_cc2","Western Sub-Saharan Africa",0.03,0.02,0.04,0.07,0.04,0.12,0.1,0.06,0.17
"53","cost_who1","Global",1.42,1.06,1.85,3.64,2.25,5.73,4.74,3.14,6.9
"54","cost_who1","High income",1.12,0.83,1.46,3.46,2.19,5.41,3.72,2.45,5.48
"55","cost_who1","Upper-middle income",0.4,0.29,0.52,1.04,0.62,1.69,1.37,0.87,2.07
"56","cost_who1","Lower-middle income",0.1,0.07,0.13,0.24,0.14,0.38,0.32,0.2,0.49
"57","cost_who1","Low income",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.03
"58","cost_who1","Andean Latin America",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.03
"59","cost_who1","Australasia",0.04,0.03,0.05,0.09,0.06,0.15,0.1,0.07,0.15
"60","cost_who1","Caribbean",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.03
"61","cost_who1","Central Asia",0.01,0,0.01,0.02,0.01,0.02,0.02,0.01,0.03
"62","cost_who1","Central Europe",0.03,0.02,0.03,0.08,0.05,0.14,0.1,0.06,0.15
"63","cost_who1","Central Latin America",0.03,0.02,0.04,0.08,0.04,0.12,0.11,0.07,0.16
"64","cost_who1","Central Sub-Saharan Africa",0,0,0,0.01,0,0.01,0.01,0.01,0.01
"65","cost_who1","East Asia",0.2,0.15,0.26,0.54,0.32,0.89,0.71,0.44,1.07
"66","cost_who1","Eastern Europe",0.03,0.02,0.04,0.13,0.09,0.2,0.16,0.1,0.23
"67","cost_who1","Eastern Sub-Saharan Africa",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02
"68","cost_who1","High-income Asia Pacific",0.1,0.08,0.13,0.37,0.22,0.62,0.34,0.22,0.52
"69","cost_who1","High-income North America",0.51,0.38,0.66,1.72,1.15,2.58,1.84,1.24,2.65
"70","cost_who1","North Africa and Middle East",0.08,0.06,0.1,0.16,0.09,0.26,0.23,0.14,0.36
"71","cost_who1","Oceania",0,0,0,0,0,0,0,0,0
"72","cost_who1","South Asia",0.05,0.04,0.07,0.13,0.08,0.21,0.18,0.11,0.27
"73","cost_who1","Southeast Asia",0.04,0.03,0.05,0.1,0.05,0.17,0.14,0.08,0.22
"74","cost_who1","Southern Latin America",0.01,0.01,0.02,0.04,0.02,0.06,0.04,0.03,0.06
"75","cost_who1","Southern Sub-Saharan Africa",0.01,0,0.01,0.02,0.01,0.03,0.02,0.02,0.04
"76","cost_who1","Tropical Latin America",0.04,0.03,0.06,0.1,0.06,0.16,0.14,0.1,0.2
"77","cost_who1","Western Europe",0.4,0.29,0.52,1.07,0.64,1.76,1.2,0.77,1.79
"78","cost_who1","Western Sub-Saharan Africa",0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.02,0.06
"79","cost_who2","Global",4.27,3.17,5.55,10.93,6.76,17.2,14.22,9.42,20.71
"80","cost_who2","High income",3.35,2.48,4.37,10.37,6.56,16.23,11.16,7.35,16.43
"81","cost_who2","Upper-middle income",1.19,0.88,1.56,3.13,1.86,5.08,4.12,2.62,6.2
"82","cost_who2","Lower-middle income",0.29,0.21,0.38,0.71,0.42,1.14,0.96,0.59,1.48
"83","cost_who2","Low income",0.02,0.01,0.02,0.04,0.02,0.06,0.06,0.04,0.09
"84","cost_who2","Andean Latin America",0.02,0.01,0.03,0.04,0.02,0.07,0.06,0.03,0.09
"85","cost_who2","Australasia",0.12,0.09,0.16,0.28,0.18,0.44,0.31,0.21,0.45
"86","cost_who2","Caribbean",0.02,0.01,0.02,0.04,0.02,0.06,0.05,0.03,0.08
"87","cost_who2","Central Asia",0.02,0.01,0.02,0.05,0.03,0.07,0.06,0.04,0.09
"88","cost_who2","Central Europe",0.08,0.06,0.1,0.25,0.15,0.41,0.3,0.18,0.46
"89","cost_who2","Central Latin America",0.09,0.07,0.12,0.23,0.13,0.37,0.32,0.2,0.49
"90","cost_who2","Central Sub-Saharan Africa",0.01,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.04
"91","cost_who2","East Asia",0.61,0.46,0.79,1.63,0.96,2.67,2.12,1.33,3.2
"92","cost_who2","Eastern Europe",0.1,0.07,0.13,0.39,0.26,0.59,0.47,0.31,0.69
"93","cost_who2","Eastern Sub-Saharan Africa",0.02,0.01,0.02,0.03,0.02,0.05,0.05,0.03,0.07
"94","cost_who2","High-income Asia Pacific",0.31,0.23,0.4,1.12,0.65,1.86,1.03,0.66,1.57
"95","cost_who2","High-income North America",1.52,1.14,1.97,5.17,3.44,7.75,5.52,3.72,7.95
"96","cost_who2","North Africa and Middle East",0.24,0.17,0.31,0.48,0.27,0.78,0.69,0.43,1.07
"97","cost_who2","Oceania",0,0,0,0,0,0.01,0.01,0,0.01
"98","cost_who2","South Asia",0.16,0.12,0.21,0.4,0.25,0.63,0.55,0.34,0.82
"99","cost_who2","Southeast Asia",0.12,0.09,0.15,0.3,0.16,0.52,0.42,0.24,0.67
"100","cost_who2","Southern Latin America",0.04,0.03,0.06,0.11,0.07,0.17,0.13,0.09,0.19
"101","cost_who2","Southern Sub-Saharan Africa",0.02,0.01,0.03,0.05,0.03,0.08,0.07,0.05,0.11
"102","cost_who2","Tropical Latin America",0.13,0.09,0.17,0.29,0.18,0.47,0.43,0.29,0.61
"103","cost_who2","Western Europe",1.19,0.88,1.56,3.22,1.92,5.28,3.59,2.32,5.37
"104","cost_who2","Western Sub-Saharan Africa",0.04,0.03,0.05,0.08,0.04,0.13,0.11,0.06,0.18
"105","cost_who3","Global",2.18,1.62,2.84,5.6,3.46,8.8,7.28,4.82,10.6
"106","cost_who3","High income",1.27,0.94,1.66,3.88,2.44,6.11,4.22,2.76,6.23
"107","cost_who3","Upper-middle income",0.78,0.58,1.02,2.05,1.23,3.33,2.7,1.71,4.06
"108","cost_who3","Lower-middle income",0.31,0.23,0.4,0.75,0.45,1.2,1.02,0.63,1.56
"109","cost_who3","Low income",0.02,0.01,0.02,0.04,0.02,0.06,0.06,0.03,0.09
"110","cost_who3","Andean Latin America",0.01,0.01,0.02,0.03,0.02,0.04,0.04,0.02,0.06
"111","cost_who3","Australasia",0.04,0.03,0.05,0.09,0.06,0.14,0.1,0.07,0.14
"112","cost_who3","Caribbean",0.01,0,0.01,0.02,0.01,0.02,0.02,0.01,0.04
"113","cost_who3","Central Asia",0.02,0.01,0.02,0.05,0.03,0.08,0.06,0.04,0.09
"114","cost_who3","Central Europe",0.05,0.04,0.07,0.18,0.11,0.29,0.21,0.13,0.32
"115","cost_who3","Central Latin America",0.06,0.05,0.08,0.16,0.09,0.25,0.22,0.14,0.34
"116","cost_who3","Central Sub-Saharan Africa",0.01,0,0.01,0.01,0.01,0.02,0.02,0.01,0.03
"117","cost_who3","East Asia",0.33,0.25,0.43,0.89,0.52,1.46,1.16,0.73,1.75
"118","cost_who3","Eastern Europe",0.09,0.07,0.12,0.35,0.23,0.52,0.41,0.27,0.61
"119","cost_who3","Eastern Sub-Saharan Africa",0.02,0.01,0.02,0.03,0.02,0.05,0.04,0.03,0.06
"120","cost_who3","High-income Asia Pacific",0.12,0.09,0.15,0.43,0.25,0.71,0.4,0.25,0.6
"121","cost_who3","High-income North America",0.51,0.38,0.66,1.73,1.15,2.6,1.85,1.25,2.67
"122","cost_who3","North Africa and Middle East",0.19,0.14,0.25,0.38,0.22,0.63,0.55,0.34,0.85
"123","cost_who3","Oceania",0,0,0,0,0,0,0,0,0
"124","cost_who3","South Asia",0.18,0.13,0.24,0.45,0.27,0.7,0.61,0.38,0.91
"125","cost_who3","Southeast Asia",0.11,0.08,0.14,0.28,0.15,0.49,0.39,0.23,0.63
"126","cost_who3","Southern Latin America",0.03,0.02,0.04,0.07,0.05,0.12,0.09,0.06,0.13
"127","cost_who3","Southern Sub-Saharan Africa",0.02,0.01,0.02,0.04,0.02,0.06,0.06,0.04,0.08
"128","cost_who3","Tropical Latin America",0.08,0.06,0.1,0.17,0.1,0.28,0.25,0.17,0.36
"129","cost_who3","Western Europe",0.47,0.35,0.62,1.28,0.76,2.09,1.42,0.92,2.13
"130","cost_who3","Western Sub-Saharan Africa",0.03,0.02,0.04,0.06,0.03,0.1,0.09,0.05,0.14
"131","cost_who4","Global",6.55,4.86,8.53,16.79,10.38,26.41,21.84,14.47,31.8
"132","cost_who4","High income",3.81,2.83,4.98,11.65,7.32,18.32,12.66,8.29,18.7
"133","cost_who4","Upper-middle income",2.33,1.73,3.05,6.16,3.68,9.99,8.09,5.14,12.18
"134","cost_who4","Lower-middle income",0.92,0.68,1.21,2.26,1.35,3.61,3.07,1.88,4.69
"135","cost_who4","Low income",0.05,0.04,0.07,0.11,0.06,0.17,0.17,0.1,0.26
"136","cost_who4","Andean Latin America",0.04,0.03,0.05,0.08,0.05,0.13,0.11,0.07,0.17
"137","cost_who4","Australasia",0.11,0.08,0.15,0.27,0.17,0.42,0.3,0.2,0.43
"138","cost_who4","Caribbean",0.02,0.01,0.03,0.05,0.03,0.07,0.07,0.04,0.11
"139","cost_who4","Central Asia",0.05,0.04,0.07,0.15,0.09,0.23,0.18,0.11,0.28
"140","cost_who4","Central Europe",0.16,0.12,0.21,0.53,0.32,0.87,0.63,0.39,0.97
"141","cost_who4","Central Latin America",0.19,0.14,0.25,0.47,0.28,0.76,0.66,0.41,1.01
"142","cost_who4","Central Sub-Saharan Africa",0.02,0.01,0.03,0.04,0.02,0.06,0.06,0.04,0.09
"143","cost_who4","East Asia",1,0.75,1.3,2.67,1.57,4.38,3.47,2.18,5.24
"144","cost_who4","Eastern Europe",0.27,0.2,0.35,1.04,0.7,1.56,1.24,0.82,1.82
"145","cost_who4","Eastern Sub-Saharan Africa",0.05,0.03,0.06,0.09,0.05,0.14,0.12,0.08,0.19
"146","cost_who4","High-income Asia Pacific",0.35,0.26,0.46,1.29,0.76,2.14,1.2,0.76,1.81
"147","cost_who4","High-income North America",1.53,1.14,1.99,5.2,3.46,7.8,5.55,3.74,8
"148","cost_who4","North Africa and Middle East",0.57,0.42,0.75,1.14,0.65,1.88,1.66,1.03,2.56
"149","cost_who4","Oceania",0,0,0,0.01,0,0.01,0.01,0.01,0.01
"150","cost_who4","South Asia",0.55,0.4,0.71,1.34,0.82,2.1,1.82,1.13,2.73
"151","cost_who4","Southeast Asia",0.33,0.24,0.43,0.85,0.45,1.47,1.17,0.68,1.89
"152","cost_who4","Southern Latin America",0.09,0.07,0.12,0.22,0.14,0.35,0.28,0.19,0.4
"153","cost_who4","Southern Sub-Saharan Africa",0.05,0.03,0.06,0.12,0.07,0.18,0.17,0.11,0.25
"154","cost_who4","Tropical Latin America",0.23,0.17,0.3,0.52,0.31,0.83,0.76,0.52,1.08
"155","cost_who4","Western Europe",1.42,1.04,1.86,3.83,2.29,6.27,4.27,2.76,6.39
"156","cost_who4","Western Sub-Saharan Africa",0.09,0.06,0.11,0.19,0.1,0.31,0.26,0.15,0.43
=======
"","1","2","3","4","5","6","7","8","9"
"estimate","GBD 2019","GBD 2019","GBD 2019","2016 reallocation method","2016 reallocation method","2016 reallocation method","Composite method","Composite method","Composite method"
"numeric_name","val","lower","upper","val","lower","upper","val","lower","upper"
"cost_who1","1.42","1.06","1.85","3.64","2.25","5.73","4.74","3.14","6.9"
"cost_who2","4.27","3.17","5.55","10.93","6.76","17.2","14.22","9.42","20.71"
>>>>>>> 53996c3571acf22ca7c251859011dc4222c2d3fa
